fdc_id,food_name,category_id,calories,carbs,protein,fat,fiber
168261,"Pork, fresh, shoulder, (Boston butt), blade (steaks), separable lean only, cooked, braised",10,233.0,0.0,26.6,13.2,0.0
168362,"Pork, fresh, shoulder, (Boston butt), blade (steaks), separable lean only, with added solution cooked, braised",10,227.0,0.0,27.6,12.1,0.0
168256,"Pork, fresh, shoulder, arm picnic, separable lean and fat, cooked, braised",10,235.0,0.0,24.9,14.3,0.0
168257,"Pork, fresh, shoulder, arm picnic, separable lean and fat, cooked, roasted",10,317.0,0.0,23.5,24.0,0.0
167847,"Pork, fresh, shoulder, arm picnic, separable lean only, cooked, braised",10,194.0,0.0,26.8,8.9,0.0
167848,"Pork, fresh, shoulder, arm picnic, separable lean only, cooked, roasted",10,228.0,0.0,26.7,12.6,0.0
168259,"Pork, fresh, shoulder, blade, boston (roasts), separable lean and fat, cooked, roasted",10,269.0,0.0,23.1,18.9,0.0
167852,"Pork, fresh, shoulder, blade, boston (roasts), separable lean only, cooked, roasted",10,232.0,0.0,24.2,14.3,0.0
167851,"Pork, fresh, shoulder, blade, boston (steaks), separable lean and fat, cooked, broiled",10,259.0,0.0,25.6,16.6,0.0
168262,"Pork, fresh, shoulder, blade, boston (steaks), separable lean only, cooked, broiled",10,227.0,0.0,26.7,12.5,0.0
167844,"Pork, fresh, shoulder, whole, separable lean and fat, cooked, roasted",10,292.0,0.0,23.3,21.4,0.0
167846,"Pork, fresh, shoulder, whole, separable lean only, cooked, roasted",10,230.0,0.0,25.3,13.5,0.0
167854,"Pork, fresh, spareribs, separable lean and fat, cooked, braised",10,397.0,0.0,29.1,30.3,0.0
169178,"Pork, fresh, spareribs, separable lean and fat, cooked, roasted",10,361.0,0.0,20.9,30.9,0.0
168265,"Pork, fresh, variety meats and by-products, brain, cooked, braised",10,138.0,0.0,12.1,9.5,0.0
167856,"Pork, fresh, variety meats and by-products, chitterlings, cooked, simmered",10,233.0,0.0,12.5,20.3,0.0
167858,"Pork, fresh, variety meats and by-products, ears, frozen, cooked, simmered",10,166.0,0.2,16.0,10.8,0.0
168290,"Pork, fresh, variety meats and by-products, feet, cooked, simmered",10,238.0,0.0,21.9,16.0,0.0
168268,"Pork, fresh, variety meats and by-products, heart, cooked, braised",10,148.0,0.4,23.6,5.0,0.0
167860,"Pork, fresh, variety meats and by-products, kidneys, cooked, braised",10,151.0,0.0,25.4,4.7,0.0
167863,"Pork, fresh, variety meats and by-products, liver, cooked, braised",10,165.0,3.8,26.0,4.4,0.0
